customer_id,customer_name,signup_date,city,acquisition_channel,gender,age
1,Customer_1,2023-05-02,Pune,Google Ads,Male,32
2,Customer_2,2024-09-07,Kolkata,Facebook,Female,55
3,Customer_3,2024-03-27,Delhi,Organic,Male,25
4,Customer_4,2023-10-22,Bengaluru,Google Ads,Female,61
5,Customer_5,2023-11-18,Delhi,Google Ads,Female,40
6,Customer_6,2024-01-21,Bengaluru,Facebook,Male,53
7,Customer_7,2024-07-04,Chennai,Organic,Male,59
8,Customer_8,2024-12-21,Chennai,Organic,Female,41
9,Customer_9,2024-04-17,Kolkata,Organic,Female,25
10,Customer_10,2024-03-11,Ahmedabad,Google Ads,Female,44
11,Customer_11,2024-07-31,Ahmedabad,Google Ads,Male,54
12,Customer_12,2023-08-18,Mumbai,Referral,Male,63
13,Customer_13,2024-09-29,Kolkata,Google Ads,Female,32
14,Customer_14,2023-05-05,Ahmedabad,Instagram,Female,53
15,Customer_15,2024-02-16,Chennai,Google Ads,Female,43
16,Customer_16,2024-03-19,Delhi,Organic,Female,18
17,Customer_17,2023-02-03,Mumbai,Instagram,Female,51
18,Customer_18,2024-05-16,Pune,Referral,Female,62
19,Customer_19,2024-05-12,Ahmedabad,Google Ads,Female,45
20,Customer_20,2024-07-25,Hyderabad,Referral,Female,47
21,Customer_21,2023-04-11,Ahmedabad,Instagram,Female,46
22,Customer_22,2023-07-07,Kolkata,Referral,Female,22
23,Customer_23,2024-10-26,Chennai,Referral,Female,24
24,Customer_24,2023-07-19,Kolkata,Organic,Male,23
25,Customer_25,2023-01-01,Ahmedabad,Instagram,Male,57
26,Customer_26,2023-07-23,Delhi,Organic,Male,52
27,Customer_27,2023-10-02,Pune,Organic,Female,60
28,Customer_28,2024-08-20,Ahmedabad,Instagram,Male,52
29,Customer_29,2023-08-17,Ahmedabad,Instagram,Female,23
30,Customer_30,2024-03-03,Mumbai,Referral,Female,50
31,Customer_31,2024-02-26,Kolkata,Referral,Male,42
32,Customer_32,2023-01-15,Bengaluru,Google Ads,Male,21
33,Customer_33,2023-12-22,Pune,Referral,Male,19
34,Customer_34,2024-06-06,Ahmedabad,Google Ads,Female,46
35,Customer_35,2023-11-30,Bengaluru,Google Ads,Female,54
36,Customer_36,2024-09-25,Mumbai,Organic,Male,45
37,Customer_37,2024-09-30,Pune,Google Ads,Male,61
38,Customer_38,2024-12-28,Bengaluru,Google Ads,Male,30
39,Customer_39,2024-10-24,Mumbai,Organic,Male,46
40,Customer_40,2024-10-18,Delhi,Google Ads,Male,26
41,Customer_41,2024-10-23,Delhi,Facebook,Male,28
42,Customer_42,2024-11-08,Mumbai,Google Ads,Female,52
43,Customer_43,2024-02-29,Bengaluru,Google Ads,Male,40
44,Customer_44,2023-06-28,Chennai,Google Ads,Female,36
45,Customer_45,2024-04-23,Mumbai,Google Ads,Female,46
46,Customer_46,2023-05-03,Chennai,Referral,Male,32
47,Customer_47,2023-01-06,Bengaluru,Referral,Female,44
48,Customer_48,2024-07-12,Mumbai,Influencer,Female,28
49,Customer_49,2023-12-27,Delhi,Organic,Female,53
50,Customer_50,2024-08-04,Delhi,Instagram,Female,60
51,Customer_51,2024-07-23,Mumbai,Organic,Female,24
52,Customer_52,2024-03-22,Mumbai,Organic,Male,40
53,Customer_53,2023-07-09,Bengaluru,Google Ads,Female,55
54,Customer_54,2023-03-07,Chennai,Referral,Male,34
55,Customer_55,2023-09-20,Bengaluru,Organic,Female,44
56,Customer_56,2023-01-16,Hyderabad,Organic,Male,37
57,Customer_57,2023-05-06,Bengaluru,Instagram,Female,38
58,Customer_58,2024-04-11,Hyderabad,Referral,Female,56
59,Customer_59,2023-08-09,Ahmedabad,Google Ads,Male,61
60,Customer_60,2024-01-19,Chennai,Google Ads,Female,21
61,Customer_61,2024-03-23,Hyderabad,Organic,Female,36
62,Customer_62,2023-05-06,Chennai,Facebook,Female,55
63,Customer_63,2023-01-21,Pune,Organic,Male,64
64,Customer_64,2023-04-26,Mumbai,Instagram,Male,20
65,Customer_65,2023-05-09,Pune,Instagram,Female,19
66,Customer_66,2024-03-10,Mumbai,Google Ads,Female,42
67,Customer_67,2023-09-03,Kolkata,Instagram,Male,29
68,Customer_68,2024-07-09,Hyderabad,Instagram,Female,34
