order_id,customer_id,restaurant_id,order_date,city,order_amount,discount_amount,delivery_fee,payment_mode,order_status,delivery_time_min,food_cost,delivery_cost
1,79,15,2025-07-14,Delhi,601,50,30,Wallet,Delivered,31,325.04,102
2,495,48,2025-09-09,Pune,1681,200,50,Card,Delivered,25,647.17,109
3,251,42,2025-01-31,Mumbai,576,150,20,UPI,Delivered,15,260.98,147
4,323,46,2025-03-19,Bangalore,673,0,20,Card,Cancelled,38,245.72,121
5,342,43,2025-09-07,Mumbai,1462,100,20,UPI,Cancelled,15,517.81,132
6,141,2,2025-09-15,Mumbai,1297,50,50,Card,Delivered,21,623.98,70
7,99,17,2025-07-01,Delhi,1469,150,40,Wallet,Delivered,38,866.45,98
8,290,15,2025-06-03,Pune,698,200,20,UPI,Delivered,40,310.48,110
9,244,1,2025-12-26,Hyderabad,314,200,30,UPI,Cancelled,42,160.53,82
10,290,3,2025-04-28,Pune,395,150,30,Wallet,Delivered,17,229.51,127
11,474,37,2025-12-03,Delhi,774,150,20,Card,Delivered,16,456.94,115
12,74,26,2025-02-09,Pune,1740,200,40,Card,Delivered,51,972.07,89
13,347,25,2025-03-13,Chennai,1307,50,20,Cash,Delivered,21,600.27,147
14,39,50,2025-11-11,Bangalore,897,150,50,Cash,Delivered,55,375.24,97
15,252,36,2025-07-12,Delhi,667,50,50,Card,Cancelled,20,362.21,77
16,409,5,2025-02-12,Bangalore,704,200,40,Card,Cancelled,60,384.36,59
17,379,24,2025-02-24,Hyderabad,997,50,20,UPI,Delivered,43,438.66,74
18,53,12,2025-08-09,Mumbai,471,0,50,Wallet,Delivered,16,175.4,110
19,48,21,2025-07-17,Bangalore,1422,150,20,Cash,Cancelled,39,774.69,132
20,462,37,2025-09-24,Hyderabad,1345,20,30,Wallet,Delivered,23,561.17,74
21,253,11,2025-08-11,Mumbai,498,0,40,Wallet,Delivered,45,271.74,86
22,129,41,2025-09-11,Delhi,705,200,30,Wallet,Delivered,23,300.45,90
23,171,22,2025-08-14,Mumbai,1470,100,40,Wallet,Delivered,34,632.34,128
24,103,12,2025-07-23,Pune,1181,50,40,Cash,Cancelled,51,644.23,81
25,193,24,2025-02-28,Chennai,774,100,30,Card,Delivered,44,453.37,66
26,225,5,2025-07-29,Mumbai,796,200,50,Card,Delivered,30,328.88,59
27,367,5,2025-08-18,Pune,1066,100,50,Wallet,Cancelled,49,382.9,86
