restaurant_id,restaurant_name,cuisine,city,rating
1,Restaurant_1,Italian,Delhi,3.7
2,Restaurant_2,South Indian,Pune,4.6
3,Restaurant_3,North Indian,Pune,4.1
4,Restaurant_4,North Indian,Bangalore,3.8
5,Restaurant_5,North Indian,Chennai,3.6
6,Restaurant_6,Fast Food,Pune,4.6
7,Restaurant_7,North Indian,Bangalore,4.6
8,Restaurant_8,Italian,Mumbai,3.9
9,Restaurant_9,South Indian,Hyderabad,3.7
10,Restaurant_10,Chinese,Bangalore,4.7
11,Restaurant_11,Biryani,Chennai,4.0
12,Restaurant_12,Fast Food,Pune,4.7
13,Restaurant_13,South Indian,Delhi,4.8
14,Restaurant_14,Biryani,Chennai,3.8
15,Restaurant_15,Chinese,Delhi,3.6
16,Restaurant_16,Fast Food,Pune,4.9
17,Restaurant_17,Biryani,Pune,4.1
18,Restaurant_18,Italian,Hyderabad,5.0
19,Restaurant_19,Biryani,Pune,4.1
20,Restaurant_20,Fast Food,Delhi,4.5
21,Restaurant_21,Italian,Bangalore,3.9
22,Restaurant_22,South Indian,Chennai,4.2
23,Restaurant_23,South Indian,Delhi,4.8
24,Restaurant_24,South Indian,Mumbai,4.9
25,Restaurant_25,Fast Food,Mumbai,5.0
26,Restaurant_26,Fast Food,Chennai,3.7
27,Restaurant_27,South Indian,Delhi,3.8
28,Restaurant_28,Biryani,Hyderabad,4.9
29,Restaurant_29,Chinese,Hyderabad,4.3
30,Restaurant_30,South Indian,Hyderabad,3.9
31,Restaurant_31,Biryani,Chennai,4.4
32,Restaurant_32,North Indian,Bangalore,4.7
33,Restaurant_33,Fast Food,Pune,4.5
34,Restaurant_34,South Indian,Mumbai,3.8
35,Restaurant_35,Chinese,Delhi,4.9
36,Restaurant_36,North Indian,Bangalore,4.9
37,Restaurant_37,Biryani,Hyderabad,4.6
38,Restaurant_38,Italian,Bangalore,4.5
39,Restaurant_39,Biryani,Bangalore,4.1
40,Restaurant_40,South Indian,Chennai,4.0
41,Restaurant_41,Chinese,Mumbai,4.2
42,Restaurant_42,Biryani,Delhi,4.0
43,Restaurant_43,Chinese,Chennai,4.8
44,Restaurant_44,Italian,Hyderabad,4.7
45,Restaurant_45,Biryani,Mumbai,4.6
46,Restaurant_46,Chinese,Bangalore,4.1
47,Restaurant_47,Italian,Hyderabad,4.3
48,Restaurant_48,South Indian,Pune,3.7
49,Restaurant_49,Chinese,Chennai,4.9
50,Restaurant_50,Fast Food,Pune,4.1
