session_id,customer_id,session_date,traffic_source,device,converted
1,473,2025-10-10,Google Ads,Desktop,1
2,171,2025-12-20,Referral,Mobile,0
3,188,2025-03-20,Referral,Desktop,0
4,58,2025-03-19,Facebook,Desktop,1
5,118,2025-03-03,Facebook,Mobile,0
6,482,2025-05-03,Google Ads,Desktop,0
7,397,2025-10-31,Google Ads,Desktop,1
8,89,2025-11-23,Google Ads,Mobile,0
9,6,2025-07-12,Instagram,Desktop,0
10,263,2025-12-11,Organic,Mobile,1
11,87,2025-05-28,Organic,Desktop,0
12,449,2025-04-16,Instagram,Mobile,0
13,333,2025-02-14,Referral,Mobile,0
14,232,2025-09-05,Organic,Mobile,1
15,72,2025-03-03,Instagram,Desktop,1
16,371,2025-10-24,Organic,Desktop,1
17,27,2025-11-05,Instagram,Desktop,1
18,85,2025-03-13,Referral,Mobile,1
19,294,2025-12-31,Organic,Desktop,1
20,344,2025-07-07,Referral,Desktop,1
21,83,2025-12-26,Google Ads,Desktop,0
22,2,2025-06-27,Organic,Mobile,1
23,457,2025-04-30,Referral,Mobile,0
24,327,2025-09-24,Google Ads,Mobile,0
25,459,2025-09-25,Facebook,Mobile,1
26,294,2025-06-16,Organic,Desktop,0
27,222,2025-08-17,Google Ads,Desktop,1
28,399,2025-10-19,Facebook,Desktop,1
29,489,2025-01-19,Organic,Desktop,0
30,368,2025-03-11,Facebook,Desktop,1
31,442,2025-03-12,Google Ads,Mobile,1
32,408,2025-08-08,Facebook,Mobile,1
33,285,2025-12-07,Instagram,Desktop,0
34,75,2025-02-06,Google Ads,Mobile,1
35,490,2025-06-29,Referral,Desktop,1
36,419,2025-09-04,Organic,Desktop,0
37,60,2025-09-12,Google Ads,Mobile,0
38,217,2025-09-17,Instagram,Desktop,0
39,182,2025-06-26,Instagram,Mobile,1
40,171,2025-08-13,Referral,Mobile,1
41,331,2025-11-09,Google Ads,Mobile,1
42,459,2025-03-19,Facebook,Mobile,0
43,129,2025-12-25,Referral,Mobile,1
44,63,2025-06-19,Instagram,Mobile,1
45,156,2025-09-23,Referral,Mobile,0
46,241,2025-01-23,Organic,Mobile,1
47,466,2025-09-21,Referral,Mobile,0
48,491,2025-01-09,Instagram,Desktop,0
49,26,2025-11-10,Organic,Mobile,1
50,231,2025-05-30,Referral,Desktop,0
51,271,2025-02-23,Facebook,Desktop,1
52,449,2025-10-31,Instagram,Desktop,0
53,456,2025-09-01,Instagram,Mobile,1
54,37,2025-07-11,Instagram,Mobile,1
55,214,2025-06-29,Facebook,Desktop,0
56,40,2025-02-19,Google Ads,Desktop,0
57,258,2025-12-28,Facebook,Desktop,0
58,422,2025-06-19,Instagram,Desktop,0
59,100,2025-07-11,Instagram,Desktop,1
60,57,2025-02-05,Instagram,Desktop,1
61,2,2025-09-10,Organic,Desktop,1
62,385,2025-01-15,Instagram,Mobile,0
63,346,2025-01-16,Facebook,Desktop,1
64,459,2025-05-05,Facebook,Mobile,1
65,359,2025-01-07,Facebook,Desktop,0
66,135,2025-12-09,Instagram,Mobile,1
67,414,2025-08-20,Google Ads,Mobile,1
68,301,2025-08-01,Referral,Desktop,0
69,377,2025-06-02,Organic,Desktop,1
70,138,2025-07-12,Referral,Mobile,1
71,316,2025-08-13,Facebook,Desktop,0
72,129,2025-07-31,Referral,Desktop,1
73,31,2025-04-18,Facebook,Desktop,0
74,210,2025-03-13,Google Ads,Mobile,0
75,30,2025-05-28,Facebook,Mobile,1
76,282,2025-06-06,Instagram,Desktop,0
77,242,2025-02-27,Organic,Mobile,0
78,433,2025-04-29,Google Ads,Mobile,1
79,117,2025-11-10,Google Ads,Mobile,0
80,30,2025-05-14,Facebook,Mobile,0
81,208,2025-04-13,Google Ads,Desktop,1
82,114,2025-02-06,Referral,Desktop,1
83,499,2025-11-02,Instagram,Mobile,1
84,451,2025-07-05,Instagram,Mobile,0
85,83,2025-11-16,Google Ads,Mobile,0
86,450,2025-02-14,Google Ads,Mobile,1
87,54,2025-10-13,Instagram,Mobile,1
88,283,2025-12-05,Google Ads,Mobile,0
89,262,2025-07-14,Facebook,Mobile,1
90,32,2025-02-24,Organic,Mobile,1
91,255,2025-11-17,Google Ads,Desktop,0
92,226,2025-11-05,Facebook,Desktop,0
93,142,2025-03-07,Organic,Mobile,1
94,274,2025-10-01,Google Ads,Mobile,0
95,158,2025-05-21,Facebook,Desktop,0
96,352,2025-12-16,Facebook,Mobile,1
97,440,2025-01-10,Organic,Mobile,0
98,338,2025-09-09,Google Ads,Desktop,0
99,347,2025-01-08,Google Ads,Desktop,1
100,318,2025-07-11,Instagram,Mobile,1
101,393,2025-08-29,Referral,Desktop,1
102,198,2025-06-17,Google Ads,Mobile,0
103,312,2025-08-12,Instagram,Mobile,0
104,111,2025-02-18,Facebook,Mobile,0
105,47,2025-01-15,Organic,Desktop,0
106,379,2025-04-26,Instagram,Mobile,1
107,236,2025-03-10,Instagram,Desktop,0
108,407,2025-03-17,Facebook,Mobile,1
109,206,2025-04-28,Referral,Desktop,1
110,44,2025-10-14,Google Ads,Desktop,1
111,477,2025-11-15,Instagram,Mobile,1
112,3,2025-03-16,Organic,Desktop,0
113,53,2025-05-14,Organic,Desktop,1
114,225,2025-04-22,Instagram,Desktop,0
115,351,2025-08-02,Instagram,Desktop,1
116,221,2025-11-04,Facebook,Desktop,0
117,228,2025-11-18,Instagram,Mobile,0
118,482,2025-08-31,Google Ads,Desktop,1
119,381,2025-10-20,Organic,Mobile,0
120,11,2025-08-20,Facebook,Mobile,1
121,405,2025-09-27,Google Ads,Mobile,1
122,55,2025-12-31,Facebook,Desktop,1
123,386,2025-01-03,Facebook,Mobile,0
124,122,2025-12-14,Facebook,Desktop,1
125,171,2025-08-03,Referral,Desktop,1
126,342,2025-11-16,Instagram,Desktop,1
127,206,2025-09-03,Referral,Mobile,1
128,96,2025-03-30,Referral,Mobile,1
129,218,2025-07-25,Organic,Desktop,1
130,420,2025-10-13,Organic,Mobile,1
131,45,2025-11-04,Organic,Mobile,1
132,144,2025-06-21,Facebook,Desktop,0
133,21,2025-03-21,Google Ads,Desktop,1
134,79,2025-10-26,Instagram,Desktop,1
135,195,2025-09-17,Referral,Mobile,1
136,38,2025-02-05,Referral,Desktop,1
137,77,2025-06-12,Google Ads,Desktop,1
138,413,2025-09-05,Referral,Desktop,0
139,469,2025-03-27,Facebook,Desktop,1
140,115,2025-02-07,Instagram,Desktop,0
141,453,2025-12-21,Instagram,Mobile,0
142,93,2025-04-30,Facebook,Desktop,1
143,245,2025-04-20,Instagram,Desktop,0
144,189,2025-02-13,Instagram,Desktop,0
145,120,2025-07-18,Facebook,Desktop,1
146,173,2025-11-08,Google Ads,Mobile,0
147,218,2025-05-12,Organic,Desktop,1
148,42,2025-03-06,Organic,Desktop,1
149,36,2025-03-26,Referral,Desktop,1
150,309,2025-06-12,Facebook,Desktop,0
151,467,2025-05-07,Google Ads,Mobile,0
152,427,2025-02-27,Organic,Desktop,0
153,437,2025-07-11,Instagram,Desktop,0
154,99,2025-07-04,Instagram,Mobile,0
155,242,2025-04-15,Organic,Mobile,0
156,257,2025-05-12,Google Ads,Desktop,0
157,457,2025-08-09,Referral,Mobile,1
158,330,2025-01-09,Referral,Desktop,1
159,158,2025-09-20,Facebook,Desktop,1
160,439,2025-04-17,Instagram,Mobile,0
161,378,2025-03-24,Google Ads,Mobile,0
162,133,2025-01-30,Google Ads,Desktop,1
163,207,2025-07-12,Referral,Desktop,0
164,157,2025-10-16,Organic,Desktop,0
165,278,2025-03-28,Organic,Desktop,1
166,396,2025-06-01,Google Ads,Mobile,0
167,494,2025-08-27,Instagram,Mobile,1
168,323,2025-02-12,Instagram,Desktop,1
169,256,2025-11-21,Google Ads,Mobile,1
170,237,2025-05-21,Referral,Desktop,1
171,236,2025-03-26,Instagram,Mobile,1
172,473,2025-07-20,Google Ads,Mobile,0
173,236,2025-07-25,Instagram,Mobile,1
174,253,2025-01-08,Google Ads,Mobile,1
175,313,2025-12-15,Organic,Desktop,0
176,131,2025-10-29,Google Ads,Desktop,0
177,51,2025-02-23,Facebook,Desktop,0
178,137,2025-08-19,Organic,Mobile,1
179,341,2025-08-02,Facebook,Desktop,0
180,378,2025-05-21,Google Ads,Desktop,0
181,432,2025-11-16,Instagram,Mobile,1
182,433,2025-01-18,Google Ads,Mobile,0
183,371,2025-03-13,Organic,Mobile,0
184,297,2025-09-15,Instagram,Desktop,1
185,366,2025-06-07,Organic,Mobile,1
186,90,2025-07-27,Referral,Desktop,0
187,37,2025-12-08,Instagram,Mobile,0
188,146,2025-01-22,Google Ads,Desktop,1
189,85,2025-02-17,Referral,Mobile,1
190,130,2025-07-09,Referral,Desktop,0
191,75,2025-08-01,Google Ads,Desktop,0
192,159,2025-01-18,Referral,Desktop,0
193,13,2025-11-13,Organic,Desktop,0
194,33,2025-08-15,Organic,Desktop,1
195,283,2025-11-04,Google Ads,Desktop,0
196,453,2025-05-10,Instagram,Mobile,1
197,212,2025-11-19,Facebook,Mobile,0
198,490,2025-10-23,Referral,Desktop,1
199,275,2025-01-01,Instagram,Mobile,0
200,34,2025-05-05,Referral,Mobile,0
201,98,2025-05-29,Instagram,Mobile,0
202,184,2025-09-04,Referral,Desktop,0
203,31,2025-12-31,Facebook,Mobile,0
204,452,2025-11-08,Referral,Mobile,0
205,344,2025-06-26,Referral,Desktop,0
206,163,2025-07-23,Facebook,Mobile,1
207,290,2025-12-06,Organic,Desktop,1
208,52,2025-10-19,Referral,Desktop,1
209,106,2025-11-05,Referral,Desktop,1
210,468,2025-08-19,Facebook,Desktop,0
211,296,2025-05-17,Facebook,Mobile,1
212,266,2025-07-16,Facebook,Mobile,0
213,296,2025-07-08,Facebook,Mobile,0
214,175,2025-09-12,Organic,Mobile,1
215,93,2025-12-06,Facebook,Mobile,1
216,281,2025-02-09,Instagram,Mobile,0
217,301,2025-12-08,Referral,Desktop,0
218,399,2025-09-23,Facebook,Desktop,0
219,454,2025-09-09,Facebook,Desktop,1
220,36,2025-12-24,Referral,Mobile,1
221,18,2025-03-24,Organic,Mobile,0
222,377,2025-09-13,Organic,Mobile,0
223,324,2025-01-13,Referral,Desktop,1
224,85,2025-07-13,Referral,Desktop,1
225,207,2025-08-23,Referral,Desktop,0
226,295,2025-03-01,Referral,Desktop,0
227,15,2025-05-29,Google Ads,Mobile,1
228,365,2025-02-03,Referral,Mobile,1
229,68,2025-09-16,Facebook,Desktop,1
230,256,2025-11-18,Google Ads,Mobile,0
231,44,2025-09-03,Google Ads,Desktop,0
232,382,2025-12-14,Organic,Mobile,1
233,226,2025-11-21,Facebook,Mobile,1
234,448,2025-05-12,Google Ads,Mobile,1
235,410,2025-08-11,Facebook,Desktop,0
236,205,2025-06-01,Instagram,Mobile,1
237,314,2025-05-19,Facebook,Desktop,0
238,179,2025-02-28,Google Ads,Mobile,1
239,45,2025-05-06,Organic,Mobile,1
240,368,2025-09-21,Facebook,Desktop,0
241,471,2025-10-20,Referral,Desktop,1
242,467,2025-02-27,Google Ads,Desktop,1
243,93,2025-05-07,Facebook,Mobile,0
244,397,2025-11-19,Google Ads,Mobile,1
245,474,2025-02-28,Organic,Mobile,0
246,437,2025-08-28,Instagram,Desktop,1
247,190,2025-03-10,Instagram,Desktop,1
248,127,2025-01-08,Referral,Desktop,1
249,372,2025-06-07,Facebook,Mobile,0
250,354,2025-05-21,Instagram,Mobile,1
251,217,2025-12-07,Instagram,Desktop,1
252,375,2025-08-08,Referral,Mobile,0
253,141,2025-11-19,Instagram,Desktop,1
254,215,2025-05-23,Facebook,Desktop,0
255,65,2025-10-22,Referral,Desktop,0
256,378,2025-09-17,Google Ads,Mobile,0
257,64,2025-11-04,Instagram,Desktop,1
258,448,2025-12-01,Google Ads,Mobile,0
259,418,2025-06-20,Instagram,Mobile,1
260,269,2025-09-28,Organic,Mobile,1
261,330,2025-02-18,Referral,Desktop,0
262,48,2025-06-05,Google Ads,Mobile,0
263,272,2025-06-21,Instagram,Mobile,1
264,263,2025-07-17,Organic,Mobile,0
265,470,2025-03-18,Instagram,Desktop,0
